Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36603.82924,38007.46853,38110.14715,38494.83345,39366.76707,38550.64657,37654.40345,39251.69677,39194.20073,38908.66821,41016.45258,38929.74866,36822.87535,36766.93349,38981.45478,38948.36766,39044.51281,39591.9089,39502.92256,35315.95717,33943.28932,34980.52425,34328.10066,35561.24262,35457.92497,37276.79494,37868.70151,38444.23816,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2849.889938,2764.989128,2626.403279,2534.882007,2512.505178,2553.769194,2624.761062,2641.908225,2619.980523,2622.65353,2637.683783,2662.395343,2692.616307,2704.643223,2784.008001,2888.274308,3010.147923,3146.330287,3216.197001,3178.585135,3258.418786,3322.823593,3377.867231,3446.309633,3508.401897,3533.094375,3530.424001,3553.522412,3562.906477,3552.358947,3371.814704
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.784668,1235.810063,1200.278013,1286.793659,1315.789117,1460.825751,1484.114461,1758.904477,1957.02907,1904.559926,2075.491614,2116.465258,2102.384604,2068.265904,2057.067978,2058.400221,2033.804389,2065.036235,1978.961579
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2803.552411,2764.276661,2759.090764,2660.70287,2588.574807,2575.979703,2626.709156,2654.248599,2678.302956,2651.635361,2669.9934,2741.770785,2922.399471,3006.974232,3152.668486,3247.896175,3326.721977,3414.02601,3524.874362,3634.414902,3766.843108,3848.366108,3946.47031,4069.360764,4190.720165,4194.754203,4099.370278,4091.835404,4107.313853,4134.253225,3995.039927
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783.429552,5649.78213,5148.254857,3788.509556,3717.365229,4139.64077,4551.650381,4728.156924,4792.684163,4740.669236,4727.966314,4766.836736,5240.839433,5218.207712,5593.243624,6210.222188,6681.101028,7341.865199,7864.374579,7643.495786,7692.434286,7675.446085,8036.692402,8140.525973,8239.830672,8036.410898,7568.998168,7310.896589,6933.499934,6670.331458,6198.083841
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827.318484,3496.580246,3265.017429,3599.027058,3921.851207,4471.87107,4909.228105,4400.577827,4819.387534,5475.169135,5893.136233,6441.853452,6754.536003,7154.784825,7580.629091,8040.878717,8569.191113,9150.518747,9912.577242,10313.92644,10749.48745,11052.79046,11227.99449,11361.29368,11586.86377,11878.48809,12291.87338,12770.97504,13323.75336,13671.48842,13295.41088
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9391.567603,9354.061457,9626.079523,9618.949787,9648.16818,9605.322888,9819.934103,9987.01622,10289.3546,10269.74552,10702.88312,10651.79096,10474.26865,10732.60345,11412.70716,11758.28532,12157.04361,12417.46926,12836.82248,12643.49805,12918.70763,13106.66123,13594.54758,13721.75593,13795.4257,14027.06159,14225.01994,14143.58158,14220.18299,14211.41505,13385.23653
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111454.0557,106103.5527,103470.9246,98978.47461,100213.1562,101570.9921,102211.6388,105108.9963,100100.4357,97698.53739,102494.7146,98621.53639,95909.14536,97795.0272,97757.85515,90894.89881,86425.89722,76620.31506,68798.41826,58374.61533,54921.77558,56123.47988,57390.70052,59921.74783,62378.61005,65218.82044,66510.90299,67183.60531,66968.22118,67119.15325,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14144.76367,15221.79215,16209.32598,17312.03457,18092.02081,17362.5218,18104.69781,19347.53704,19866.24505,18981.16838,18625.28355,17610.75539,15523.03878,16714.67013,18032.61143,19426.44014,20777.65271,22424.11773,23103.45652,21519.89362,23521.27018,24647.62927,24118.86752,24424.13645,23550.09906,23933.88661,23189.52745,23597.11775,22759.39856,22063.90437,19686.52366
